file,blurr,brightness,colorswap,move,resize,rotated
8345.png,100.000000,100.000000,100.000000,80.208333,85.937500,94.270833
8346.png,100.000000,100.000000,99.479167,81.770833,82.291667,94.270833
8351.png,100.000000,100.000000,98.958333,90.104167,88.020833,95.312500
8352.png,100.000000,100.000000,96.354167,88.020833,93.229167,97.916667
8353.png,100.000000,100.000000,98.958333,91.666667,80.208333,96.875000
8354.png,100.000000,100.000000,100.000000,80.208333,88.541667,96.875000
8355.png,100.000000,100.000000,96.875000,96.875000,83.854167,95.312500
8357.png,100.000000,100.000000,97.916667,86.458333,85.416667,94.270833
8358.png,100.000000,100.000000,99.479167,84.375000,82.812500,96.875000
8360.png,100.000000,100.000000,99.479167,84.375000,90.625000,97.395833
8361.png,100.000000,100.000000,98.437500,88.020833,81.250000,96.875000
8362.png,100.000000,100.000000,99.479167,89.062500,80.208333,95.312500
8363.png,100.000000,100.000000,98.958333,81.250000,90.104167,97.916667
8367.png,100.000000,100.000000,97.916667,72.916667,81.770833,94.270833
8368.png,100.000000,100.000000,96.875000,81.770833,80.729167,93.229167
8369.png,100.000000,100.000000,98.437500,85.937500,84.895833,96.354167
8371.png,100.000000,99.479167,98.958333,85.416667,89.583333,93.750000
8372.png,100.000000,100.000000,98.437500,84.895833,88.541667,96.875000
8373.png,100.000000,100.000000,98.958333,92.708333,85.416667,94.791667
8374.png,100.000000,100.000000,100.000000,79.687500,82.291667,97.916667
8375.png,100.000000,100.000000,96.875000,92.187500,82.291667,92.708333
8377.png,100.000000,100.000000,98.958333,86.458333,93.229167,98.437500
8378.png,99.479167,100.000000,98.437500,96.875000,86.979167,93.750000
8379.png,99.479167,100.000000,97.916667,81.770833,87.500000,94.791667
8380.png,100.000000,100.000000,98.958333,83.333333,88.541667,95.833333
8381.png,99.479167,100.000000,97.916667,82.291667,79.166667,93.229167
8382.png,100.000000,100.000000,96.875000,87.500000,80.729167,93.750000
8383.png,100.000000,100.000000,96.354167,94.791667,77.083333,89.062500
8384.png,100.000000,100.000000,99.479167,93.750000,90.104167,92.187500
8389.png,100.000000,100.000000,98.437500,82.291667,85.937500,94.270833
8391.png,100.000000,100.000000,98.958333,84.895833,85.416667,95.833333
8393.png,100.000000,100.000000,98.958333,90.625000,78.645833,93.750000
8394.png,99.479167,100.000000,97.395833,84.375000,87.500000,97.916667
8396.png,100.000000,100.000000,98.958333,84.375000,88.541667,95.312500
8397.png,100.000000,100.000000,100.000000,79.166667,87.500000,97.395833
8398.png,100.000000,100.000000,96.875000,91.145833,84.895833,92.187500
8399.png,100.000000,100.000000,97.916667,85.416667,81.770833,93.750000
8400.png,100.000000,100.000000,97.916667,80.208333,81.770833,95.833333
8401.png,100.000000,100.000000,97.916667,85.937500,82.812500,94.270833
8404.png,100.000000,100.000000,96.354167,86.458333,71.354167,94.791667
8408.png,100.000000,100.000000,98.437500,96.354167,84.895833,93.750000
8409.png,99.479167,100.000000,98.958333,84.375000,90.625000,96.354167
8411.png,100.000000,100.000000,96.875000,87.500000,79.166667,94.791667
8413.png,100.000000,100.000000,98.958333,86.458333,85.416667,93.750000
8415.png,100.000000,100.000000,99.479167,90.104167,83.854167,95.833333
8418.png,100.000000,100.000000,98.437500,83.333333,85.937500,96.875000
8419.png,100.000000,100.000000,97.916667,86.979167,92.708333,98.437500
8420.png,100.000000,100.000000,99.479167,81.770833,86.979167,96.354167
8421.png,99.479167,100.000000,98.437500,83.333333,83.333333,92.708333
8422.png,99.479167,100.000000,96.354167,96.875000,80.729167,93.229167
8427.png,100.000000,100.000000,98.437500,94.270833,91.145833,96.875000
8428.png,100.000000,100.000000,98.958333,88.020833,91.145833,97.916667
8429.png,100.000000,100.000000,95.833333,74.479167,77.604167,94.270833
8430.png,100.000000,100.000000,96.354167,97.916667,83.333333,93.229167
8431.png,100.000000,100.000000,98.437500,84.375000,88.020833,94.791667
8435.png,100.000000,100.000000,97.395833,96.875000,74.479167,92.187500
8436.png,100.000000,100.000000,98.958333,84.375000,89.583333,98.437500
8438.png,100.000000,100.000000,98.958333,88.541667,85.937500,95.312500
8439.png,100.000000,100.000000,96.875000,86.458333,86.458333,97.916667
8440.png,100.000000,100.000000,99.479167,81.250000,81.770833,96.875000
8441.png,100.000000,100.000000,99.479167,83.854167,75.000000,90.625000
8442.png,100.000000,100.000000,98.958333,94.270833,83.333333,93.750000
8443.png,100.000000,100.000000,98.437500,87.500000,77.604167,93.750000
8446.png,100.000000,100.000000,97.916667,85.937500,88.020833,93.750000
8448.png,100.000000,100.000000,97.395833,87.500000,80.208333,94.791667
8449.png,100.000000,100.000000,98.958333,96.875000,88.541667,95.312500
8451.png,100.000000,100.000000,97.395833,83.333333,79.687500,93.750000
8453.png,100.000000,100.000000,98.958333,82.812500,84.375000,97.395833
8454.png,99.479167,100.000000,98.958333,82.291667,85.937500,94.270833
