file,cryptopunks,blurr,brightness,colorswap,move,resize,rotated
8369.png,6.053774248496993,3.0268871242484967,2.017924749498998,1.4873496993987976,1.2107548496993987,1.0437541750167,0.8648248926424277
8371.png,8.245658016032063,4.122829008016032,2.748552672010688,2.061414504008016,1.5656312625250501,1.3220886272545092,1.1779511451474376
8372.png,6.2625250501002006,3.1312625250501003,2.0875083500334,1.5395373997995994,1.2942551703406813,1.095941883767535,0.8946464357286
8373.png,6.6278389779559115,3.3139194889779557,2.209279659318637,1.6308659068136275,1.283817635270541,1.1394316466265866,0.9468341397079874
8374.png,6.7322144288577155,3.3661072144288577,2.2266755845023383,1.6830536072144289,1.2942551703406813,1.1568275384101536,0.9542895362152878
8375.png,7.775968637274549,3.8879843186372747,2.5919895457581834,1.9178982965931863,1.471693386773547,1.2612029559118236,1.1108526624677928
8377.png,6.680026753507015,3.3400133767535074,2.2440714762859053,1.6700066883767537,1.336005350701403,1.165525501002004,0.9915664614944173
8378.png,7.984719438877756,3.992359719438878,2.6615731462925853,1.970085996993988,1.5760687975951901,1.3133906646626585,1.1406742055539651
8379.png,7.775968637274549,3.8879843186372747,2.5919895457581834,1.9178982965931863,1.55519372745491,1.2785988643954576,1.1108526624677928
8380.png,6.575651302605211,3.2878256513026054,2.19188376753507,1.6178189629258515,1.3568804208416831,1.14812959251837,0.961744918408245
8381.png,6.366900501002004,3.183450250501002,2.122300167000668,1.591725125250501,1.2107548496993987,1.061150083500334,0.9095572144288577
8382.png,6.8365898797595195,3.4182949398797597,2.278863293253173,1.6830536072144289,1.3673179759519039,1.2090152471609885,0.9766556971085029
8383.png,5.845023346693387,2.9225116733466936,1.930945223780895,1.5134435621242484,1.095941883767535,1.0002644121576487,0.8722802748353851
8384.png,7.932531763527055,3.9662658817635275,2.6441772545090183,1.9831329408817637,1.503006012024048,1.269900918503674,1.1332188233610079
8389.png,6.7322144288577155,3.3661072144288577,2.261467368069472,1.6569597444889779,1.2942551703406813,1.1220357381429527,0.9692003006012023
8391.png,8.08909488977956,4.04454744488978,2.696364963259853,1.996179859719439,1.596943887775551,1.3307865731462927,1.1555849842542227
8393.png,7.515030060120241,3.7575150300601203,2.50501002004008,1.8787575150300602,1.4612558517034069,1.269900918503674,1.0735757228743201
8394.png,8.871910521042084,4.435955260521042,2.957303507014028,2.19188376753507,1.7535070140280562,1.4612558450233801,1.2823265531062125
8396.png,6.471275851703406,3.235637925851703,2.157091950567802,1.591725125250501,1.2942551703406813,1.1133377922511691,0.9244679788147723
8397.png,6.314712725450902,3.157356362725451,2.1049042418169672,1.5525843436873747,1.3255677955911822,1.1133377922511691,0.9021018179215574
8398.png,6.940965230460921,3.4704826152304604,2.3136550768203072,1.7352413076152302,1.283817635270541,1.1046398296593185,0.9915664614944173
8399.png,5.63627254509018,2.81813627254509,1.8787575150300602,1.3829742735470942,1.2316299198396794,0.9915664662658651,0.80518179215574
8400.png,6.314712725450902,3.157356362725451,2.1049042418169672,1.5525843436873747,1.283817635270541,1.1046398296593185,0.9021018179215574
8401.png,7.984719438877756,3.992359719438878,2.6615731462925853,2.02227372244489,1.409068136272545,1.2090152471609885,1.1257634268537073
8404.png,5.5840848697394785,2.7920424348697392,1.861361623246493,1.3960212174348696,1.095941883767535,0.9480767034068137,0.7977264099627827
8408.png,7.775968637274549,3.8879843186372747,2.5919895457581834,1.9439921593186373,1.471693386773547,1.2785988643954576,1.1108526624677928
8409.png,6.210337374749499,3.1051686873747495,2.0701124582498327,1.5264904809619237,1.283817635270541,1.1046398296593185,0.8871910535356426
8411.png,6.158149599198397,3.0790747995991987,2.0701124582498327,1.5656312625250501,1.158567134268537,1.078545975283901,0.9170125966218151
8413.png,6.471275851703406,3.235637925851703,2.157091950567802,1.591725125250501,1.315130260521042,1.1133377922511691,0.9244679788147723
8415.png,4.957832364729459,2.4789161823647294,1.6352148630594523,1.2394580911823647,0.8350033466933867,0.8089094856379425,0.7008063698826225
8418.png,7.045340681362726,3.522670340681363,2.348446893787575,1.7613351703406814,1.3673179759519039,1.1220357381429527,1.006477240194675
8419.png,8.45440881763527,4.227204408817635,2.8355321643286575,2.1657899048096194,1.283817635270541,1.2177132097528391,1.185406527340395
8420.png,8.297845691382765,4.1489228456913825,2.765948563794255,2.0744614228456912,1.596943887775551,1.3655783734134936,1.185406527340395
